lfm,water_potential,mpa,year,month,year_month,plant,F.Group,spp,ilfm
101.7971612,-2.844,2.844,2020,october,2020_october,1,Gymnosperm,CADE,0.009823456648612318
110.8921645,-2.297,2.297,2020,october,2020_october,1,Gymnosperm,CADE,0.009017769691022668
121.1375212,-1.271,1.271,2020,october,2020_october,1,Gymnosperm,CADE,0.008255080590174732
135.02270030507137,-0.596,0.596,2020,october,2020_october,1,Gymnosperm,CADE,0.007406162058236075
150.9893892,-0.336,0.336,2020,october,2020_october,1,Gymnosperm,CADE,0.006622981954549161
78.2312890940801,-4.764,4.764,2020,october,2020_october,1,Gymnosperm,CADE,0.0127826092549416
71.86846039,-4.22,4.22,2020,october,2020_october,1,Gymnosperm,CADE,0.01391430948392966
87.37652528,-2.875,2.875,2020,october,2020_october,1,Gymnosperm,CADE,0.011444721528985938
82.5369719018232,-4.448,4.448,2020,october,2020_october,1,Gymnosperm,CADE,0.012115782502773289
91.27261187,-2.323,2.323,2020,october,2020_october,1,Gymnosperm,CADE,0.010956189151509158
102.1771109,-0.124,0.124,2020,october,2020_october,9,Angiosperm,ARPA,0.00978692772962325
109.7751873,-1.262,1.262,2020,october,2020_october,9,Angiosperm,ARPA,0.00910952670267045
123.8226559,-0.895,0.895,2020,october,2020_october,9,Angiosperm,ARPA,0.008076066473712264
47.46774194,-5.401,5.401,2020,october,2020_october,9,Angiosperm,ARPA,0.021066938496126827
61.79002731786672,-7.407,7.407,2020,october,2020_october,9,Angiosperm,ARPA,0.016183841364168613
77.61262291,-4.467,4.467,2020,october,2020_october,9,Angiosperm,ARPA,0.012884502063016286
102.5211535,-2.783,2.783,2020,october,2020_october,6,Gymnosperm,CADE,0.009754084555827788
116.957606,-1.784,1.784,2020,october,2020_october,6,Gymnosperm,CADE,0.008550106608714272
127.8839221,-0.2,0.2,2020,october,2020_october,6,Gymnosperm,CADE,0.00781959126353695
129.0838068,-0.673,0.673,2020,october,2020_october,6,Gymnosperm,CADE,0.0077469050904997025
120.4025257,-0.612,0.612,2020,october,2020_october,6,Gymnosperm,CADE,0.008305473611838029
48.72182345,-1.949,1.949,2020,october,2020_october,6,Gymnosperm,CADE,0.020524683379845875
56.22597980767155,-6.379,6.379,2020,october,2020_october,6,Gymnosperm,CADE,0.017785372587914575
78.12413793,-3.761,3.761,2020,october,2020_october,6,Gymnosperm,CADE,0.012800141243107346
84.16188209,-3.3,3.3,2020,october,2020_october,6,Gymnosperm,CADE,0.01188186356063939
98.95144746,-2.949,2.949,2020,october,2020_october,6,Gymnosperm,CADE,0.010105966367033072
101.98712570000001,-3.128,3.128,2020,october,2020_october,5,Angiosperm,ARPA,0.009805159162358862
119.9227373,-0.998,0.998,2020,october,2020_october,5,Angiosperm,ARPA,0.008338702255422917
125.0844912,-0.084,0.084,2020,october,2020_october,5,Angiosperm,ARPA,0.007994596215777708
143.8068756,-1.382,1.382,2020,october,2020_october,5,Angiosperm,ARPA,0.006953770435716218
78.99033605692841,-5.2,5.2,2020,october,2020_october,5,Angiosperm,ARPA,0.012659776498219972
99.48361024,-2.108,2.108,2020,october,2020_october,5,Angiosperm,ARPA,0.010051907018528402
137.9838577,-0.296,0.296,2020,september,2020_september,17,Angiosperm,CECO,0.007247224542556039
157.0879459,-0.48,0.48,2020,september,2020_september,17,Angiosperm,CECO,0.00636586081936921
93.15051798,-3.409,3.409,2020,september,2020_september,17,Angiosperm,CECO,0.01073531335826502
141.2172573,-1.6,1.6,2020,september,2020_september,17,Angiosperm,CECO,0.0070812875077697745
133.110225,-1.86,1.86,2020,september,2020_september,17,Angiosperm,CECO,0.007512570878758562
113.6588659,-2.15,2.15,2020,september,2020_september,17,Angiosperm,CECO,0.008798257769700306
78.36448136,-4.56,4.56,2020,september,2020_september,17,Angiosperm,CECO,0.012760883280858863
55.9992188241973,-7.589,7.589,2020,september,2020_september,17,Angiosperm,CECO,0.017857391960044617
73.41677564,-3.192,3.192,2020,september,2020_september,17,Angiosperm,CECO,0.013620865139917225
66.62670822,-7.133,7.133,2020,september,2020_september,17,Angiosperm,CECO,0.015008996042518279
25.21434139,-10,10,2020,september,2020_september,17,Angiosperm,CECO,0.03965996908396741
127.4073009,-0.29,0.29,2020,september,2020_september,15,Gymnosperm,CADE,0.007848843770616289
105.1200243,-1.07,1.07,2020,september,2020_september,15,Gymnosperm,CADE,0.00951293539607753
101.9001702,-1.45,1.45,2020,september,2020_september,15,Gymnosperm,CADE,0.009813526297721531
107.8379568,-1.55,1.55,2020,september,2020_september,15,Gymnosperm,CADE,0.00927317272761978
106.1617599,-1.77,1.77,2020,september,2020_september,15,Gymnosperm,CADE,0.009419587626862617
107.7445845,-2.16,2.16,2020,september,2020_september,15,Gymnosperm,CADE,0.00928120893166561
81.75943298,-3.78,3.78,2020,september,2020_september,15,Gymnosperm,CADE,0.012231004589337357
83.14913162,-4.21,4.21,2020,september,2020_september,15,Gymnosperm,CADE,0.012026583808116022
150.1568803,-0.43,0.43,2020,september,2020_september,22,Gymnosperm,CADE,0.006659701493545214
130.6248827,-1.56,1.56,2020,september,2020_september,22,Gymnosperm,CADE,0.007655509266918561
130.6775669,-1.78,1.78,2020,september,2020_september,22,Gymnosperm,CADE,0.007652422858203676
118.1771808,-2.06,2.06,2020,september,2020_september,22,Gymnosperm,CADE,0.008461870500129582
120.6222409,-2.05,2.05,2020,september,2020_september,22,Gymnosperm,CADE,0.008290345068527077
101.5923567,-3.39,3.39,2020,september,2020_september,22,Gymnosperm,CADE,0.009843260186915224
113.9964264,-3.51,3.51,2020,september,2020_september,22,Gymnosperm,CADE,0.00877220481009745
95.55095706,-3.26,3.26,2020,september,2020_september,22,Gymnosperm,CADE,0.010465619924372529
121.31302595392869,-3.487,3.487,2020,october,2020_october,4,Gymnosperm,PIJE,0.00824313788347652
122.634041,-3.987,3.987,2020,october,2020_october,4,Gymnosperm,PIJE,0.008154342724464246
127.30791151793596,-3.034,3.034,2020,october,2020_october,4,Gymnosperm,PIJE,0.007854971368838405
